DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/22,2017,20187146,34365,383,AMARILLO NATURAL GAS INC,2915 WEST INTERSTATE 40,AMARILLO,TX,79109,Natural Gas,,"KANSAS, TEXAS",0,1.03,1.03,3423864,0,0,0,0,0,,,,,,,,No,0,14.51,0,0,0,0,3.75,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0,14.51,0,0,0,0,3.75,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51,0,0,0,0,3.75,0,0,18.26,INITIAL,3/13/2018,3/13/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187010,34225,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,Natural Gas,,TEXAS,0,0,0,,,,,,,,,,,,,,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,0,0,0,0,0,0,20.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.79,0,0,0,0,0,0,0,20.79,0,20.79,0,0,0,0,0,0,0,20.79,INITIAL,3/12/2018,3/12/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187294,36581,405,ANR PIPELINE CO,700 LOUISIANA STREET,HOUSTON,TX,77002,Natural Gas,"ARKANSAS, ILLINOIS, INDIANA, IOWA, KANSAS, KENTUCKY, LOUISIANA, MICHIGAN, MISSISSIPPI, MISSOURI, NEBRASKA, OHIO, OKLAHOMA, TENNESSEE, TEXAS, WISCONSIN",MICHIGAN,0,349.437,349.437,1654681.373,0,0,0,0,0,,,,,,,NA,No,0,9252.312,0,0,0,0,0,0,0,9252.312,0,0,0,0,0,0,0,0,0,0,0,9252.312,0,0,0,0,0,0,0,9252.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9252.312,0,0,0,0,0,0,0,9252.312,SUPPLEMENTAL,3/14/2018,6/19/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187281,35157,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,Natural Gas,"NEW MEXICO, TEXAS, WYOMING","COLORADO, TEXAS, UTAH, WYOMING",0,0,0,43528791,,,,,,,,,,,,,No,0,345.3,0,0,0,0,0,0,0,345.3,0,0,0,0,0,0,0,0,0,0,0,345.3,0,0,0,0,0,0,0,345.3,0,518.54,0,0,0,0,28.35,0,40.03,586.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.54,0,0,0,0,28.35,0,40.03,586.92,0,863.84,0,0,0,0,28.35,0,40.03,932.22,SUPPLEMENTAL,3/14/2018,1/18/2019,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186682,33871,515,DAKOTA GASIFICATION COMPANY,GREAT PLAINS SYNFUELS PLANT 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,Synthetic Gas,,NORTH DAKOTA,0,0,0,,,39225.7,,,,,,,,,,,No,0,38.27,0,1.5,0,0,0,0,0,39.77,0,0,0,0,0,0,0,0,0,0,0,38.27,0,1.5,0,0,0,0,0,39.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.27,0,1.5,0,0,0,0,0,39.77,INITIAL,3/5/2018,3/5/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186677,33860,570,FERNDALE PIPELINE SYSTEM,30 S WACKER DRIVE,CHICAGO,IL,60606,Natural Gas,,WASHINGTON,0,1.9,1.9,13923,,,,,,,,,,,,,No,0,36.2,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,36.2,INITIAL,3/5/2018,3/5/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186495,33662,585,ARGYLE MUNICIPAL GAS SYSTEM,PO BOX 288,ARGYLE,MN,56713,Natural Gas,,MINNESOTA,0,0,0,,,,,,,,,,,,,,Yes,0,2.1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,2.1,INITIAL,2/16/2018,2/16/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186994,34204,602,"ENABLE GAS TRANSMISSION, LLC",211 NORTH ROBINSON AVENUE ROOM 150,OKLAHOMA CITY,OK,73102,Natural Gas,"ARKANSAS, KANSAS, LOUISIANA, MISSISSIPPI, MISSOURI, OKLAHOMA, TENNESSEE, TEXAS",,0,85.13,85.13,909571,,,,,,,,,,,,,No,146.88,5724.6,3.08,0.25,0,0,24.15,0,0,5898.96,0,0,0,0,0,0,0,0,0,0,146.88,5724.6,3.08,0.25,0,0,24.15,0,0,5898.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,5724.6,3.08,0.25,0,0,24.15,0,0,5898.96,INITIAL,3/12/2018,3/12/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186717,33907,603,CENTERPOINT ENERGY RESOURCES CORP.,1111 LOUISIANA ST. SUITE 2223D,HOUSTON,TX,77002,Natural Gas,,"ARKANSAS, OKLAHOMA",0,10.35,10.35,,,,,,,,,,,,,,Yes,0,90.84,0,0,0,0,0,0,0,90.84,0,0,0,0,0,0,0,0,0,0,0,90.84,0,0,0,0,0,0,0,90.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.84,0,0,0,0,0,0,0,90.84,INITIAL,3/6/2018,3/6/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187482,34723,621,ARKANSAS OKLAHOMA GAS CORP,115 NORTH 12TH ST,FORT SMITH,AR,72901,Natural Gas,,"ARKANSAS, OKLAHOMA",0,5.68,5.68,,,,,,,,,,,,,,Yes,5.57,120.82,0,0,0,0,0,0,0,126.39,0,0,0,0,0,0,0,0,0,0,5.57,120.82,0,0,0,0,0,0,0,126.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,120.82,0,0,0,0,0,0,0,126.39,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187519,34777,660,"ARLINGTON ENERGY GROUP, LLC",P.O. BOX 131,MAGEE,MS,39111,Natural Gas,,MISSISSIPPI,0,0,0,278,,,,,,,,,,,,,No,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187154,38521,792,ATLANTA GAS LIGHT CO,10 PEACHTREE PLACE NE,ATLANTA,GA,30309,Landfill Gas,,GEORGIA,0,6.4,6.4,,,,,,,,,,,,,,Yes,0,0.2,0,0,0,0,6.3,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,6.3,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,6.3,0,0,6.5,SUPPLEMENTAL,3/13/2018,2/23/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187161,38517,792,ATLANTA GAS LIGHT CO,10 PEACHTREE PLACE NE,ATLANTA,GA,30309,Natural Gas,,GEORGIA,0,450.9,450.9,,,,,,,,,,,,,,Yes,0,1079.1,0,0,0,0,0,0,0,1079.1,0,0,0,0,0,0,0,0,0,0,0,1079.1,0,0,0,0,0,0,0,1079.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079.1,0,0,0,0,0,0,0,1079.1,SUPPLEMENTAL,3/13/2018,2/23/2021,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187105,34322,840,MOJAVE PIPELINE OPERATING COMPANY,"1001 LOUISIANA ST, SUITE 1000",HOUSTON,TX,77002,Natural Gas,"ARIZONA, CALIFORNIA",,0,11.51,11.51,130291,,,,,,,,,,,,,No,0,561.57,0,0,0,0,0,0,0,561.57,0,0,0,0,0,0,0,0,0,0,0,561.57,0,0,0,0,0,0,0,561.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.57,0,0,0,0,0,0,0,561.57,INITIAL,3/13/2018,3/13/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187508,34766,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,9811 KATY FREEWAY  SUITE 100,HOUSTON,TX,77024,Hydrogen Gas,,"LOUISIANA, TEXAS",0,6.28,6.28,,,,,,,,,,,,,,No,0,325.88,0,0,0,0,0,0,0,325.88,0,0,0,0,0,0,0,0,0,0,0,325.88,0,0,0,0,0,0,0,325.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.88,0,0,0,0,0,0,0,325.88,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187469,34710,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,9811 KATY FREEWAY  SUITE 100,HOUSTON,TX,77024,Natural Gas,,TEXAS,0,0,0,,,,,,,,,,,,,,No,0,0.987,0,0,0,0,0,0,0,0.987,0,0,0,0,0,0,0,0,0,0,0,0.987,0,0,0,0,0,0,0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987,0,0,0,0,0,0,0,0.987,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187393,34631,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,9811 KATY FREEWAY  SUITE 100,HOUSTON,TX,77024,Synthetic Gas,,TEXAS,0,0,0,,,,,,,,,,,,,,No,0,42.86,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,42.86,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187336,34569,844,KERN RIVER GAS TRANSMISSION CO,2755 EAST COTTONWOOD PARKWAY SUITE 300,SALT LAKE CITY,UT,84121,Natural Gas,"CALIFORNIA, NEVADA, UTAH, WYOMING",,0,102.163,102.163,793713,,,,,,,,,,,,,No,0,1417.382,0,0,0,0,0,0,0,1417.382,0,0,0,0,0,0,0,0,0,0,0,1417.382,0,0,0,0,0,0,0,1417.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417.382,0,0,0,0,0,0,0,1417.382,INITIAL,3/14/2018,3/14/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187011,35117,857,"MARKWEST PINNACLE PNG UTILITY, LLC","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,Natural Gas,,TEXAS,0,2.39,2.39,55862,,,,,,,,,,,,,No,0,127.59,0,0,0,0,0,0,0,127.59,0,0,0,0,0,0,0,0,0,0,0,127.59,0,0,0,0,0,0,0,127.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.59,0,0,0,0,0,0,0,127.59,SUPPLEMENTAL,3/12/2018,12/4/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186872,34069,860,"FAIRBANK, CITY OF",116 EAST MAIN STREET,FAIRBANK,IA,50629,Natural Gas,,IOWA,0,0,0,,,,,,,,,,,,,,Yes,0,0.292,0,0,0,0,7.782,0,0,8.074,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,0,7.782,0,0,8.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,0,7.782,0,0,8.074,INITIAL,3/9/2018,3/9/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187512,34770,872,LAFITTE GAS PIPELINE,1293 ELDRIDGE PARKWAY,HOUSTON,TX,77077,Hydrogen Gas,,LOUISIANA,0,0.138,0.138,,,,13241,,,,,,,,,,No,0,0.736,0,5.153,0,0,0,0,0,5.889,0,0,0,0,0,0,0,0,0,0,0,0.736,0,5.153,0,0,0,0,0,5.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736,0,5.153,0,0,0,0,0,5.889,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187510,34768,872,LAFITTE GAS PIPELINE,1293 ELDRIDGE PARKWAY,HOUSTON,TX,77077,Natural Gas,,LOUISIANA,0,0.605,0.605,9810,,,,,,,,,,,,,No,0,5.722,0,0,0,0,0,0,0,5.722,0,0,0,0,0,0,0,0,0,0,0,5.722,0,0,0,0,0,0,0,5.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.722,0,0,0,0,0,0,0,5.722,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186613,33791,878,"JEFFERSON GAS, LLC",PO BOX 35,WINCHESTER,KY,40392,Natural Gas,,KENTUCKY,0,0,0,717,,,,,,,,,,,,,No,23,21,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,41,21,0,0,0,0,0,0,0,62,INITIAL,3/1/2018,3/1/2018,7100.2-1 (Rev. 10-2014)
