DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
3/1/2022,2020,20210143,18214,999,"PACIFIC COAST ENERGY COMPANY, LP",1555 ORCUTT HILL ROAD,ORCUTT,CA,93455,,Crude Oil,,CALIFORNIA,,1.70,1.70,,,,,,,114157.000,,,,0,1.7,0,0,0,0,1.7,0,0,0,0,0,0,0,0,1.7,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,05/21/21,5/21/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210706,18846,1047,HESS CORPORATION,601 JACK STEPHAN WAY,WEST TRENTON,NJ,08628,,Refined and/or Petroleum Product (non-HVL),,NEW JERSEY,,0,0,,,,,,,,,,0.000,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,INITIAL,07/27/21,7/27/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210084,18143,1248,BELLE FOURCHE PIPELINE CO,455 N POPLAR ST.,CASPER,WY,82602,,Crude Oil,"MONTANA, NORTH DAKOTA, WYOMING",,,35.8,35.8,,,,,,,10033866684.000,,,,0,654,0,0,0,0,654,0,0,0,0,0,0,0,0,654,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,10,359,369,119,0,119,0,0,0,19,0,19,34,0,34,93,0,93,0,0,0,634,275,359,INITIAL,03/31/21,3/31/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210083,18142,1248,BELLE FOURCHE PIPELINE CO,455 N POPLAR ST.,CASPER,WY,82602,,Refined and/or Petroleum Product (non-HVL),WYOMING,,,0.00,0.00,,,,,,,,,,72840817.000,0,76,0,0,0,0,76,0,0,0,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,76,76,0,INITIAL,03/31/21,3/31/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210648,18850,1541,"HILCORP NORTH SLOPE, LLC",3800 CENTERPOINT DRIVE  SUITE 1400,ANCHORAGE,AK,99503,,Crude Oil,,ALASKA,,34.40,34.40,,,,,,,638684598.000,,,,0,0,17.3,17.1,0,0,34.4,0,0,0,0,0,0,0,0,0,17.3,17.1,0,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,6.1,0,0,0,5.3,0,5.3,0,0,0,0,0,0,11.4,11.4,0,SUPPLEMENTAL,06/15/21,7/30/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210527,18630,1845,"BUCKEYE PARTNERS, LP",FIVE TEK PARK 9999 HAMILTON BOULEVARD,BREINIGSVILLE,PA,18031,,Crude Oil,"INDIANA, OHIO",TEXAS,,3.594,3.594,,,,,,,170116179.000,,,,0,6.309,0,0,0,0,6.309,0,0,0,0,0,0,0,0,6.309,0,0,0,0,6.309,0,0,0,0,0,0,0,1.168,1.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.722,0,4.722,0.298,0,0.298,6.188,5.02,1.168,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210529,18632,1845,"BUCKEYE PARTNERS, LP",FIVE TEK PARK 9999 HAMILTON BOULEVARD,BREINIGSVILLE,PA,18031,,Fuel Grade Ethanol (dedicated system),,FLORIDA,,1.722,1.722,,,,,,,,850282,,,0,1.722,0,0,0,0,1.722,0,0,0,0,0,0,0,0,1.722,0,0,0,0,1.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722,0,1.722,0,0,0,1.722,1.722,0,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210530,18633,1845,"BUCKEYE PARTNERS, LP",FIVE TEK PARK 9999 HAMILTON BOULEVARD,BREINIGSVILLE,PA,18031,,HVL,"ILLINOIS, INDIANA, OHIO","FLORIDA, TEXAS",,27.06,27.06,,,,,,,,,477359154.000,,0,32.821,0,0,0,0,32.821,0,0,0,0,0,0,0,0,32.821,0,0,0,0,32.821,0,0.46,0.46,0,0,0,0,0,0,0,0.928,0.928,0,1.011,1.011,0,0,0,0,0,0,6.051,0,6.051,18.48,0,18.48,5.037,0,5.037,0.849,0,0.849,32.816,30.417,2.399,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210526,18629,1845,"BUCKEYE PARTNERS, LP",FIVE TEK PARK 9999 HAMILTON BOULEVARD,BREINIGSVILLE,PA,18031,,Refined and/or Petroleum Product (non-HVL),"CONNECTICUT, DELAWARE, ILLINOIS, INDIANA, IOWA, MAINE, MASSACHUSETTS, MICHIGAN, MISSOURI, NEW JERSEY, NEW YORK, OHIO, PENNSYLVANIA","ALABAMA, IOWA, NEW JERSEY, TEXAS",,3611.841,3611.841,,,,,,,,,,50070452797.000,252.816,5961.193,0,0,0,0,6214.009,0,0,0,0,0,0,0,252.816,5961.193,0,0,0,0,6214.009,0,0.661,0.661,0,320.05,320.05,0,779.39,779.39,0,948.857,948.857,0,1570.741,1570.741,347.882,0,347.882,56.062,0,56.062,57.972,0,57.972,107.989,0,107.989,44.793,0,44.793,0.398,0,0.398,4234.795,615.096,3619.699,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210082,18141,1960,BUTTE PIPELINE CO,455 N. POPLAR ST.,CASPER,WY,82601,,Crude Oil,"MONTANA, WYOMING",,,17,17,,,,,,,8303743058.000,,,,0,459,0,0,0,0,459,0,0,0,0,0,0,0,0,459,0,0,0,0,459,0,0,0,0,0,0,0,0,0,117,34,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,121,0,0,0,272,238,34,INITIAL,03/31/21,3/31/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210046,18101,2162,DOW PIPELINE CO - CAYUSE,1000 CO. RD. 340,ANGLETON,TX,77515,,HVL,"LOUISIANA, TEXAS",,,64.14,64.14,,,,,,,,,1243457362.000,,0,248.74,0,0,0,0,248.74,0,0,0,0,0,0,0,0,248.74,0,0,0,0,248.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.25,0,246.25,0.08,0,0.08,0,0,0,0,0,0,0.72,0,0.72,0,0,0,247.05,247.05,0,INITIAL,03/10/21,3/10/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210671,18782,2170,CENEX PIPELINE LLC,803 HWY 212 S (PO BOX 909),LAUREL,MT,59044,,Refined and/or Petroleum Product (non-HVL),"MONTANA, NORTH DAKOTA",,,211.15,211.15,,,,,,,,,,5691865668.000,0,914.35,0,0,0,0,914.35,0,0,0,0,0,0,0,0,914.35,0,0,0,0,914.35,0,0,0,0,0,0,0,0,0,0,2.05,2.05,0,188.78,188.78,18.2,0,18.2,0,0,0,274.88,0,274.88,110.26,0,110.26,138.28,0,138.28,181.9,0,181.9,914.35,723.52,190.83,INITIAL,06/16/21,6/16/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210313,18410,2190,CENTRAL FLORIDA PIPELINE CORP,"1001 LOUISIANA ST., SUITE 1000",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,FLORIDA,,186.86,186.86,,,,,,0.000,0.000,0,0.000,2865984566.000,0,205.68,0,0,0,0,205.68,0,0,0,0,0,0,0,0,205.68,0,0,0,0,205.68,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,3.95,82.28,0,82.28,1.66,0,1.66,112.04,0,112.04,1.27,0,1.27,4.28,0,4.28,0,0,0,205.48,201.53,3.95,INITIAL,06/10/21,6/10/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210641,18751,2387,CITGO PIPELINE CO,1293 ELDRIDGE PARKWAY,Houston,TX,77077,,Crude Oil,"LOUISIANA, TEXAS",,,49.784,49.784,,,,,,,4248273190.000,,,,0,63.706,0,0.352,0,0,64.058,0,0,0,0,0,0,0,0,63.706,0,0.352,0,0,64.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0,0,0,0.174,0,0.174,0.14,0,0.14,0,0,0,0.346,0,0.346,0.675,0.66,0.015,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210664,18775,2552,COLONIAL PIPELINE CO,1185 SANCTUARY PARKWAY SUITE 100,ALPHARETTA,GA,30009-4765,,Refined and/or Petroleum Product (non-HVL),"ALABAMA, DELAWARE, GEORGIA, LOUISIANA, MARYLAND, MISSISSIPPI, NEW JERSEY, NEW YORK, NORTH CAROLINA, PENNSYLVANIA, SOUTH CAROLINA, TENNESSEE, TEXAS, VIRGINIA, WASHINGTON DC",,,4397.27,4397.27,,,,,,0.000,0.000,0,1194048.000,775630400092.000,64.72,5537.68,0,0,0,0,5602.4,0,0,0,0,0,0,0,64.72,5537.68,0,0,0,0,5602.4,8.03,4.65,12.68,0,0,0,0,0,0,0,5.38,5.38,316.85,821.7,1138.55,847.115,0,847.115,227.32,0,227.32,108.87,0,108.87,67.56,0,67.56,5.57,0,5.57,0,0,0,2413.045,1581.315,831.73,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210096,18158,2714,"EASTERN GAS TRANSMISSION AND STORAGE, INC.",925 WHITE OAKS BOULEVARD,BRIDGEPORT,WV,26330,,HVL,"PENNSYLVANIA, WEST VIRGINIA",WEST VIRGINIA,,78.4,78.4,,,,,,,,,51160402.000,,0,78.4,0,0,0,0,78.4,0,0,0,0,0,0,0,0,78.4,0,0,0,0,78.4,0,0,0,0,0,0,0,0,0,0,0,0,6.059,0,6.059,11.812,0,11.812,55.723,0,55.723,0.592,0,0.592,0.709,0,0.709,0.861,0,0.861,0,0,0,75.756,75.756,0,INITIAL,04/14/21,4/14/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210097,18159,2714,"EASTERN GAS TRANSMISSION AND STORAGE, INC.",925 WHITE OAKS BOULEVARD,BRIDGEPORT,WV,26330,,Refined and/or Petroleum Product (non-HVL),,WEST VIRGINIA,,29.117,29.117,,,,,,,,,,11661628.000,0,29.117,0,0,0,0,29.117,0,0,0,0,0,0,0,0,29.117,0,0,0,0,29.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.187,0,27.187,0,0,0,1.88,0,1.88,0,0,0,29.067,29.067,0,INITIAL,04/14/21,4/14/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210689,18814,2730,CHEVRON PRODUCTS COMPANY,6001 BOLLINGER CANYON ROAD,SAN RAMON,CA,94583,,Refined and/or Petroleum Product (non-HVL),,OREGON,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,06/30/21,6/30/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210265,18362,2731,CHEVRON PIPE LINE CO,1400 SMITH STREET,HOUSTON,TX,77002,,CO2,"COLORADO, UTAH, WYOMING",,0.00,6.62,6.62,0,0,0,0,0,269669033.000,0.000,0,0.000,0.000,0,129,0,0,0,0,129,0,0,0,0,0,0,0,0,129,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,06/10/21,6/10/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210233,18948,2731,CHEVRON PIPE LINE CO,1400 SMITH STREET,HOUSTON,TX,77002,,Crude Oil,"COLORADO, LOUISIANA, MISSISSIPPI, OCS-Gulf of Mexico, UTAH",CALIFORNIA,11.1,287.7,298.8,0,15074013770,0,0,0,0.000,1093223199.000,0,0.000,0.000,0,676.72,0,0,0,0,676.72,0,187.3,0,0,0,0,187.3,0,864.02,0,0,0,0,864.02,0,0,0,0,0,0,0,0,0,0,12.7,12.7,1.6,0,1.6,9.8,0,9.8,0,0,0,6.1,0,6.1,23.5,0,23.5,1,0,1,0,0,0,54.7,42,12.7,SUPPLEMENTAL,06/08/21,1/24/2022,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210249,18346,2731,CHEVRON PIPE LINE CO,1400 SMITH STREET,HOUSTON,TX,77002,,HVL,,"LOUISIANA, TEXAS",0,632.42,632.42,0,0,0,0,0,0.000,0.000,0,25626925126.000,0.000,0,1064.3,0,0,0,0,1064.3,0,0,0,0,0,0,0,0,1064.3,0,0,0,0,1064.3,0,0,0,0,0,0,0,0,0,0,56.5,56.5,58.1,86.4,144.5,164.4,0,164.4,71.4,0,71.4,139.2,0,139.2,43.4,0,43.4,73.2,0,73.2,0,0,0,692.6,549.7,142.9,INITIAL,06/09/21,6/9/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210266,18970,2731,CHEVRON PIPE LINE CO,1400 SMITH STREET,HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,"CALIFORNIA, UTAH",0,223.282,223.282,0,0,0,0,0,0.000,0.000,0,0.000,3633583356.000,0,277.46,0,0,0,0,277.46,0,0,0,0,0,0,0,0,277.46,0,0,0,0,277.46,0,0,0,0,0,0,0,9.9,9.9,0,0,0,0,86.1,86.1,33.7,0,33.7,1.3,0,1.3,11.7,0,11.7,7.1,0,7.1,0.3,0,0.3,0,0,0,150.1,54.1,96,SUPPLEMENTAL,06/10/21,2/8/2022,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210525,18628,2767,"HARVEST ALASKA, LLC",3800 CENTERPOINT DRIVE SUITE 1400,ANCHORAGE,AK,99503,,Crude Oil,ALASKA,ALASKA,31.63,73.43,105.06,,31562272,,,,,429567100.000,,,,0,43.98,43.97,0,0,0,87.95,0,26.88,4.75,0,0,0,31.63,0,70.86,48.72,0,0,0,119.58,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,16.14,0,0,0,37.23,0,37.23,11.51,0,11.51,0,0,0,0.01,0,0.01,0,0,0,64.89,64.89,0,INITIAL,06/15/21,6/15/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210704,18837,3345,DEVON ENERGY PRODUCTION CO. LP,333 W SHERIDAN AVE,OKLAHOMA CITY,OK,73102,,CO2,,WYOMING,,2.2,2.2,,,,,,177924.000,,,,,0,46.51,0,0,0,0,46.51,0,0,0,0,0,0,0,0,46.51,0,0,0,0,46.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,46,0.51,0,0.51,0,0,0,46.51,46.51,0,SUPPLEMENTAL,07/13/21,7/13/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210436,18538,3445,DIXIE PIPELINE COMPANY LLC,1100 LOUISIANA ST.,HOUSTON,TX,77002,,HVL,"ALABAMA, GEORGIA, LOUISIANA, MISSISSIPPI, NORTH CAROLINA, SOUTH CAROLINA, TEXAS",,,663.90,663.90,,,,,,0.000,0.000,0,7853000000.000,0.000,0,1306.104,0,0,0,0,1306.104,0,0,0,0,0,0,0,0,1306.104,0,0,0,0,1306.104,0.198,0.071,0.269,0,0,0,0,0,0,0,0,0,549.255,707.576,1256.831,7.104,0.109,7.213,15.561,0.646,16.207,3.405,2.088,5.493,12.321,0.967,13.288,2.445,0.57,3.015,0.016,0.023,0.039,1302.355,590.305,712.05,INITIAL,06/14/21,6/14/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210031,18086,3527,DOW PIPELINE CO,1000 COUNTY ROAD 340,ANGLETON,TX,77515,,HVL,,TEXAS,,283.85,283.85,,,,,,,,,5073445268.000,,0,480.6,0,0,0,0,480.6,0,0,0,0,0,0,0,0,480.6,0,0,0,0,480.6,0,41.82,41.82,0,0,0,0,79.3,79.3,0,10.24,10.24,0.18,34.42,34.6,90.03,15.93,105.96,0.83,0,0.83,4.04,0,4.04,1.04,0.18,1.22,114.8,1.31,116.11,0,0,0,394.12,210.92,183.2,INITIAL,03/02/21,3/2/2021,7000-1.1 (Rev. 01-2020)
3/1/2022,2020,20210034,18089,3535,DOW PIPELINE CO,1000 COUNTY ROAD 340,ANGLETON,TX,77515,,HVL,,LOUISIANA,,39.51,39.51,,,,,,,,,1750989127.000,,0,197.43,0,0,0,0,197.43,0,0,0,0,0,0,0,0,197.43,0,0,0,0,197.43,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,61.72,61.72,42.33,0,42.33,56.43,0,56.43,0,0,0,36.89,0,36.89,0,0,0,0,0,0,197.42,135.65,61.77,INITIAL,03/03/21,3/3/2021,7000-1.1 (Rev. 01-2020)
